,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,Neighborhood,OverallQual,OverallCond,Heating,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageCars,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,SC_Abnorml,SC_AdjLand,SC_Alloca,SC_Family,SC_Normal,SC_Partial,SalePrice
62,611,60,3,70.04995836802665,11050,2,1,2,2,1.0,1,7,4,4,16,9,5,6,1,5.0,1476,677,0,2,1,3,1,4,8,2,4.0,3,736,3,2,253,142,0,0,0,0,0,0,0,0,0,0,1,0,313000
63,613,60,3,70.04995836802665,11885,2,1,2,2,1.0,1,4,4,4,16,8,5,6,1,5.0,1299,573,0,2,1,3,1,4,7,1,5.0,2,531,3,2,160,122,0,0,0,0,0,0,0,0,0,0,1,0,261500
64,653,60,3,70.0,8750,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,909,807,0,2,1,2,1,3,7,1,4.0,2,512,3,2,0,120,0,0,0,0,0,0,0,0,0,0,1,0,191000
65,671,60,3,64.0,8633,2,1,2,2,1.0,1,4,4,4,16,6,5,6,1,5.0,738,738,0,2,1,3,1,3,7,0,4.0,2,540,3,2,100,35,0,0,0,0,0,0,0,0,0,0,1,0,173500
66,684,20,3,90.0,11248,2,2,2,2,1.5,1,4,4,4,16,9,5,6,1,5.0,1668,0,0,2,0,3,1,3,7,1,4.0,3,702,3,2,257,45,0,0,0,0,0,0,0,0,0,0,1,0,285000
67,691,120,2,70.04995836802665,4426,2,1,2,2,1.0,1,4,4,3,16,6,5,6,1,5.0,848,0,0,1,0,1,1,3,3,1,4.0,2,420,3,2,149,0,0,0,0,0,0,0,0,0,0,0,1,0,141000
68,705,20,3,70.0,8400,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1484,0,0,2,0,3,1,3,7,0,4.0,2,606,3,2,0,35,0,144,0,0,0,0,0,0,0,0,1,0,213000
69,720,20,3,69.0,9920,2,2,2,2,1.0,1,4,4,4,16,5,6,6,1,5.0,971,0,0,1,1,3,1,2,5,1,4.0,1,300,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,128500
70,722,120,2,70.04995836802665,4426,2,1,2,2,1.0,1,4,4,3,16,6,5,6,1,5.0,848,0,0,1,0,1,1,3,3,0,4.0,2,420,3,2,160,0,0,0,0,0,0,0,0,0,0,0,1,0,143000
71,728,20,3,64.0,7314,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1232,0,0,2,0,2,1,3,6,0,4.0,2,632,3,2,132,0,0,0,0,0,0,0,0,0,0,0,1,0,194500
72,733,60,3,75.0,11404,2,2,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1153,878,0,2,1,3,1,3,8,1,4.0,2,541,3,2,192,84,0,0,0,0,0,0,0,0,0,0,1,0,222500
73,740,60,3,65.0,9313,2,2,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,864,864,0,2,1,3,1,3,7,0,4.0,2,572,3,2,187,56,0,0,0,0,0,0,0,0,0,0,1,0,190000
74,753,20,3,79.0,9236,2,2,2,2,1.0,1,4,4,4,16,6,5,6,1,5.0,1494,0,0,2,0,3,1,3,6,0,4.0,2,576,3,2,168,27,0,0,0,0,0,0,0,0,0,0,1,0,217000
75,757,60,3,68.0,10769,2,2,2,2,1.0,1,4,4,4,16,8,5,6,1,5.0,866,902,0,2,1,3,1,3,7,0,4.0,2,578,3,2,144,105,0,0,0,0,0,0,0,0,0,0,1,0,212000
76,769,20,3,70.0,9100,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1836,0,0,2,0,3,1,3,8,1,4.0,2,484,3,2,120,33,0,0,0,0,0,0,0,0,0,0,1,0,216837
77,777,20,3,86.0,11210,2,2,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1614,0,0,2,0,3,1,3,7,0,4.0,3,865,3,2,144,59,0,0,0,0,0,0,0,0,0,0,0,1,221500
78,783,20,3,67.0,16285,2,3,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1430,0,0,2,0,3,1,3,6,0,4.0,2,605,3,2,0,33,0,0,0,0,0,0,0,0,0,0,1,0,187100
79,803,60,3,63.0,8199,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,728,728,0,2,1,3,1,3,7,1,4.0,2,410,3,2,36,18,0,0,0,0,0,0,0,0,0,0,1,0,189000
80,812,120,2,70.04995836802665,4438,2,1,2,2,1.0,1,4,4,3,16,6,5,6,1,5.0,848,0,0,1,0,1,1,3,4,1,4.0,2,420,3,2,140,0,0,0,0,0,0,0,0,0,0,0,1,0,144500
81,816,20,3,48.0,12137,2,3,2,2,3.0,1,4,4,4,16,7,5,6,1,5.0,1661,0,0,2,0,3,1,3,6,0,4.0,2,598,3,2,0,34,0,0,0,0,0,0,0,0,0,0,1,0,224900
82,821,60,3,72.0,7226,2,2,2,2,3.0,1,4,4,4,16,7,5,6,1,5.0,798,842,0,2,1,3,1,3,6,0,4.0,2,595,3,2,0,45,0,0,0,0,0,0,0,0,0,0,1,0,183000
83,833,60,3,44.0,9548,2,2,2,2,3.0,1,4,4,4,16,7,6,6,1,5.0,941,888,0,2,1,3,1,3,7,1,4.0,2,613,3,2,192,39,0,0,0,0,0,0,0,0,0,0,1,0,237000
84,839,20,3,75.0,9525,2,1,2,2,1.0,1,4,4,4,16,5,6,6,1,5.0,1099,0,0,1,1,3,1,3,6,0,4.0,1,352,3,2,278,0,0,0,0,0,0,0,0,0,0,0,1,0,144000
85,848,20,3,36.0,15523,2,2,2,2,3.0,1,4,4,4,16,5,6,6,1,5.0,864,0,0,1,0,3,1,2,5,1,4.0,1,338,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,133500
86,851,120,2,36.0,4435,2,1,2,2,1.0,1,4,4,3,16,6,5,6,1,5.0,848,0,0,1,0,1,1,3,3,0,4.0,2,420,3,2,140,0,0,0,0,0,0,0,0,0,0,0,1,0,131500
87,857,80,3,70.04995836802665,10970,2,2,3,2,1.0,2,4,4,4,16,6,6,6,1,5.0,1026,0,0,1,0,3,1,2,5,0,3.0,2,576,2,2,0,0,34,0,0,0,3,0,0,0,0,0,1,0,147000
88,872,60,3,70.0,8750,2,1,2,2,1.0,1,4,4,4,16,6,5,6,1,5.0,804,878,0,2,1,3,1,3,7,0,4.0,2,523,3,2,0,77,0,0,0,0,0,0,0,0,0,0,1,0,200500
89,880,20,3,70.04995836802665,7000,2,2,2,2,3.0,1,4,4,4,16,5,8,6,1,5.0,864,0,0,1,0,3,1,2,6,0,4.0,1,336,3,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,136500
90,912,20,3,70.04995836802665,9286,2,2,2,2,3.0,2,4,4,4,16,5,7,6,1,5.0,1268,0,0,1,1,3,1,3,5,0,3.0,1,252,3,2,173,0,0,0,0,0,0,0,0,0,0,0,1,0,143500
91,929,20,3,70.04995836802665,11838,2,1,2,2,1.0,1,4,4,4,16,8,5,6,1,5.0,1788,0,0,2,0,3,1,4,7,1,4.0,2,522,3,2,202,151,0,0,0,0,0,0,0,0,0,0,1,0,236500
92,934,20,3,63.0,8487,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1500,0,0,2,0,3,1,3,6,0,4.0,2,570,3,2,192,36,0,0,0,0,0,0,0,0,0,0,1,0,190000
93,939,60,3,73.0,8760,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1391,571,0,2,1,3,1,3,7,0,4.0,3,868,3,2,0,90,0,0,0,0,0,0,0,0,0,0,0,1,239799
94,949,60,3,65.0,14006,2,2,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,936,840,0,2,1,3,1,3,7,1,4.0,2,474,3,2,144,96,0,0,0,0,0,0,0,0,0,0,1,0,192500
95,953,85,3,60.0,7200,2,1,2,2,1.0,1,4,4,4,16,5,8,6,1,5.0,768,0,1,1,0,2,1,2,5,0,3.0,1,396,3,2,192,0,0,0,0,0,3,0,0,0,0,0,1,0,133900
96,959,20,3,65.0,8450,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1337,0,0,2,0,3,1,3,6,0,4.0,2,531,3,2,0,39,0,0,0,0,0,0,0,0,0,0,1,0,185000
97,964,20,3,122.0,11923,2,2,2,2,1.5,1,4,4,4,16,9,5,6,1,5.0,1800,0,0,2,0,2,1,4,7,0,4.0,2,702,3,2,288,136,0,0,0,0,0,0,0,0,0,0,1,0,239000
98,984,60,3,70.04995836802665,11250,2,1,2,2,1.5,1,4,4,4,16,8,5,6,1,5.0,1149,1141,0,2,1,4,1,3,9,1,4.0,2,779,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,255900
99,994,60,3,68.0,8846,2,1,2,2,1.0,1,4,4,4,16,6,5,6,1,5.0,750,750,0,2,1,3,1,3,6,0,4.0,2,564,3,2,0,35,0,0,0,0,0,0,0,0,0,0,0,1,173900
100,1000,20,3,64.0,6762,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1208,0,0,2,0,2,1,3,6,0,4.0,2,632,3,2,105,61,0,0,0,0,0,0,0,0,0,0,1,0,206000
101,1006,80,3,65.0,8385,2,1,2,2,1.0,1,4,4,4,16,5,8,6,1,5.0,985,0,0,2,0,3,1,2,6,0,4.0,1,328,3,2,210,0,0,0,0,0,0,0,0,0,0,0,1,0,149900
102,1017,20,3,73.0,11883,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1504,0,0,2,0,3,1,3,6,1,4.0,2,478,3,2,115,66,0,0,0,0,0,0,0,0,0,0,1,0,203000
103,1022,20,3,64.0,7406,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1220,0,0,2,0,2,1,3,6,0,4.0,2,632,3,2,105,54,0,0,0,0,0,0,0,0,0,0,0,1,194000
104,1026,20,3,70.0,7700,2,1,2,2,1.5,1,4,4,4,16,5,5,6,1,5.0,882,0,0,1,0,3,1,2,5,0,3.0,2,461,3,2,96,0,0,0,0,0,3,0,0,0,0,0,1,0,112500
105,1034,20,3,70.04995836802665,8125,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1654,0,0,2,0,3,1,3,6,0,4.0,3,900,3,2,0,136,0,0,0,0,0,0,0,0,0,0,1,0,230000
106,1038,60,3,70.04995836802665,9240,2,1,2,2,1.0,1,4,4,4,16,8,5,6,1,5.0,1055,1208,0,2,1,3,1,3,7,1,5.0,2,905,3,2,0,45,0,0,189,0,0,0,0,0,0,0,1,0,287000
107,1048,20,3,57.0,9245,2,3,2,2,1.0,1,4,4,4,16,5,5,6,1,5.0,990,0,1,1,0,3,1,2,5,0,3.0,2,672,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,145000
108,1052,20,3,103.0,11175,2,2,2,2,1.5,1,4,4,4,16,7,5,6,1,5.0,1316,0,0,2,0,3,1,3,6,1,4.0,2,440,3,2,0,20,0,0,0,0,0,0,0,0,0,0,0,1,200141
109,1055,60,3,90.0,11367,2,1,2,2,1.5,1,4,4,4,16,8,5,6,1,5.0,1091,898,0,2,1,3,1,3,7,1,4.0,2,586,3,2,199,60,0,0,0,0,0,0,0,0,0,0,1,0,255000
110,1075,20,3,74.0,8556,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1240,0,0,2,0,2,1,3,5,0,4.0,3,826,3,2,140,93,0,0,0,0,0,0,0,0,0,0,1,0,194000
111,1079,120,2,37.0,4435,2,1,2,2,1.0,1,4,4,3,16,6,5,6,1,5.0,848,0,0,1,0,1,1,3,3,1,4.0,2,420,3,2,140,0,0,0,0,0,0,0,0,0,0,0,1,0,155900
112,1080,20,3,65.0,8775,2,1,2,2,1.0,1,4,4,4,16,5,5,6,1,5.0,990,0,0,1,0,3,1,2,5,0,4.0,1,299,3,2,0,64,0,0,0,0,0,0,0,0,0,0,1,0,126000
113,1083,20,3,70.0,8749,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1459,0,0,2,0,3,1,3,6,1,4.0,2,527,3,2,192,39,0,0,0,0,0,0,0,0,0,0,1,0,192000
114,1096,20,3,78.0,9317,2,2,2,2,1.0,1,4,4,4,16,6,5,6,1,5.0,1314,0,0,2,0,3,1,3,6,1,4.0,2,440,3,2,0,22,0,0,0,0,0,0,0,0,0,0,1,0,176432
115,1122,20,3,84.0,10084,2,1,2,2,1.0,1,4,4,4,16,7,5,6,1,5.0,1552,0,0,2,0,3,1,3,7,0,4.0,3,782,3,2,144,20,0,0,0,0,0,0,0,0,0,0,0,1,212900
116,1143,60,3,77.0,9965,2,1,2,2,1.0,1,4,4,4,16,8,5,6,1,5.0,1466,1362,0,3,0,4,1,3,11,1,5.0,3,1052,3,2,125,144,0,0,0,0,0,0,0,0,0,0,0,1,424870
